Number: 1 371;No;Name;TypeNo;VolVehPrT(AP);SS,VolVehPrT(AP);VolVeh_nad 3,5 t (AP);SS,VolVeh_nad 3,5 t (AP);WKTPolyWGS84
1;422;5.KVETNA;61;91169;82174;2145;1607;LINESTRING(14.4547 50.0466,14.4580 50.0451,14.4596 50.0443)
2;423;;99;11572;11576;377;304;LINESTRING(14.4510 50.0475,14.4507 50.0481)
3;424;RAMPY;98;6925;8806;178;172;LINESTRING(14.4534 50.0478,14.4529 50.0480,14.4520 50.0484)
4;425;;61;78040;69569;1921;1411;LINESTRING(14.4672 50.0412,14.4679 50.0410,14.4686 50.0407,14.4693 50.0405)
5;426;;51;99685;87138;2856;2499;LINESTRING(14.4705 50.0402,14.4701 50.0403,14.4697 50.0404,14.4693 50.0405)
6;427;;51;88445;78250;2636;2331;LINESTRING(14.4724 50.0399,14.4718 50.0399,14.4711 50.0401,14.4705 50.0402)
7;428;5.KVETNA;51;114498;106791;3556;9540;LINESTRING(14.4724 50.0399,14.4733 50.0398,14.4742 50.0397,14.4754 50.0398,14.4763 50.0398,14.4772 50.0399,14.4782 50.0400,14.4791 50.0401,14.4797 50.0402,14.4803 50.0403,14.4807 50.0403)
8;429;;51;106098;96052;3154;9150;LINESTRING(14.4833 50.0402,14.4820 50.0403,14.4814 50.0403,14.4807 50.0403)
9;431;;96;21644;17568;935;1088;LINESTRING(14.4693 50.0405,14.4691 50.0408,14.4692 50.0410,14.4693 50.0412,14.4695 50.0412,14.4698 50.0413,14.4699 50.0412,14.4701 50.0411)
10;432;;96;11240;8887;219;168;LINESTRING(14.4705 50.0402,14.4707 50.0401,14.4708 50.0400,14.4708 50.0398,14.4708 50.0397,14.4707 50.0396,14.4706 50.0395,14.4704 50.0394,14.4701 50.0394,14.4699 50.0395,14.4697 50.0396)
11;433;;97;11510;9584;255;188;LINESTRING(14.4697 50.0396,14.4697 50.0397,14.4697 50.0398,14.4697 50.0399,14.4697 50.0400,14.4698 50.0401)
12;434;;97;554;7106;54;6270;LINESTRING(14.4683 50.0400,14.4684 50.0398,14.4684 50.0396,14.4685 50.0395,14.4687 50.0394,14.4688 50.0393,14.4689 50.0393,14.4690 50.0392,14.4692 50.0392,14.4692 50.0392,14.4695 50.0392)
