Number: 32;No;VolVehPrT(AP);SS,VolVehPrT(AP);VolVeh_nad 3,5 t (AP);SS,VolVeh_nad 3,5 t (AP);WKTPolyWGS84
1;2 983;20 235;19779;792;940;LINESTRING(14.5673 50.0361,14.5671 50.0360,14.5667 50.0360,14.5657 50.0359,14.5652 50.0357,14.5650 50.0355,14.5644 50.0345)
2;2 984;20 415;22550;981;1149;LINESTRING(14.5673 50.0361,14.5717 50.0366)
3;2 985;18 563;18249;1022;1073;LINESTRING(14.5717 50.0366,14.5772 50.0368)
4;2 986;17 741;18214;1593;1388;LINESTRING(14.5772 50.0368,14.5779 50.0368,14.5787 50.0366,14.5795 50.0361,14.5801 50.0359,14.5804 50.0359)
5;2 990;10 826;14013;1217;1998;LINESTRING(14.5893 50.0386,14.5847 50.0416,14.5831 50.0425)
6;2 991;13 725;14512;1986;2092;LINESTRING(14.5831 50.0425,14.5792 50.0449)
7;3 001;15 468;15620;323;537;LINESTRING(14.5673 50.0361,14.5670 50.0364,14.5668 50.0368,14.5666 50.0370,14.5666 50.0373,14.5666 50.0377,14.5668 50.0384,14.5668 50.0395,14.5669 50.0408)
8;3 047;18 403;23927;961;1809;LINESTRING(14.5893 50.0386,14.5900 50.0384,14.5900 50.0383,14.5912 50.0372,14.5920 50.0364)
9;3 049;20 876;27247;819;1623;LINESTRING(14.6014 50.0297,14.5987 50.0316)
10;3 051;20 528;26709;790;1590;LINESTRING(14.6014 50.0297,14.6031 50.0295)
11;3 052;17 631;23586;751;1574;LINESTRING(14.6072 50.0309,14.6067 50.0307,14.6062 50.0305,14.6055 50.0302,14.6052 50.0299,14.6046 50.0298,14.6038 50.0296,14.6031 50.0295)
12;3 058;4 370;8150;115;49;LINESTRING(14.6014 50.0297,14.6013 50.0293,14.6020 50.0284)
13;3 285;2 340;5508;78;76;LINESTRING(14.5776 50.0332,14.5766 50.0337,14.5741 50.0352,14.5731 50.0358,14.5723 50.0362,14.5717 50.0366)
14;3 286;1 857;5416;78;76;LINESTRING(14.5776 50.0332,14.5775 50.0323,14.5777 50.0317,14.5781 50.0312)
15;6 156;23;2176;0;23;LINESTRING(14.5920 50.0364,14.5922 50.0367,14.5922 50.0368,14.5920 50.0371,14.5915 50.0379,14.5903 50.0391)
16;17 681;16 894;14512;1907;2092;LINESTRING(14.5739 50.0479,14.5792 50.0449)
17;17 689;7 886;0;2355;0;LINESTRING(14.5792 50.0449,14.5802 50.0455,14.5811 50.0458,14.5820 50.0460,14.5833 50.0460,14.5848 50.0458)
18;18 352;18 044;18209;1592;1343;LINESTRING(14.5893 50.0386,14.5876 50.0375,14.5874 50.0374,14.5870 50.0374,14.5857 50.0376,14.5849 50.0375,14.5831 50.0371,14.5810 50.0360,14.5804 50.0359)
19;18 353;16 987;22412;888;1734;LINESTRING(14.5920 50.0364,14.5987 50.0316)
20;20 031;17 089;17054;538;564;LINESTRING(14.5671 50.0447,14.5669 50.0408)
21;21 484;7 327;7955;190;562;LINESTRING(14.5893 50.0386,14.5903 50.0391)
22;21 586;16 736;16271;538;564;LINESTRING(14.5671 50.0447,14.5671 50.0455,14.5670 50.0461)
23;21 587;16 736;16271;538;564;LINESTRING(14.5635 50.0488,14.5657 50.0474,14.5662 50.0471,14.5666 50.0467,14.5669 50.0463,14.5670 50.0461)
24;52 198;6 980;10028;51;536;LINESTRING(14.5903 50.0391,14.5896 50.0399,14.5873 50.0427)
25;52 199;7 608;9915;245;348;LINESTRING(14.5848 50.0458,14.5873 50.0427)
26;53 284;15 692;13676;566;502;LINESTRING(14.5635 50.0488,14.5631 50.0485,14.5631 50.0483,14.5631 50.0483,14.5632 50.0482,14.5634 50.0481,14.5636 50.0481,14.5638 50.0482,14.5639 50.0482,14.5640 50.0484,14.5642 50.0486,14.5647 50.0492,14.5655 50.0501)
27;53 285;16 158;13591;581;504;LINESTRING(14.5670 50.0518,14.5668 50.0514,14.5655 50.0501)
28;53 320;13 471;12492;180;410;LINESTRING(14.5987 50.0316,14.5947 50.0296)
29;53 321;12 861;11796;146;264;LINESTRING(14.5932 50.0286,14.5947 50.0296)
30;61 559;17 075;14846;1818;2120;LINESTRING(14.5739 50.0479,14.5695 50.0504)
31;61 560;17 342;15246;1729;2148;LINESTRING(14.5670 50.0518,14.5695 50.0504)
32;61 563;956;838;156;85;LINESTRING(14.5695 50.0504,14.5691 50.0500,14.5689 50.0476)
