No;ID_useku;Total_SS;Total_Vyhl;Heavy_SS;Heavy_Vyhl;TypUseku;WKT
1;2265;6573;11993;147;304;81;LINESTRING(14.5798 50.0558,14.5799 50.0561,14.5800 50.0562,14.5801 50.0562,14.5803 50.0562,14.5806 50.0563,14.5811 50.0564,14.5814 50.0565,14.5816 50.0566,14.5820 50.0568,14.5821 50.0568,14.5826 50.0570,14.5829 50.0571,14.5860 50.0593)
2;2267;177;3552;6;31;81;LINESTRING(14.5635 50.0550,14.5664 50.0557,14.5670 50.0559)
3;2296;10257;22992;838;2292;74;LINESTRING(14.5670 50.0518,14.5667 50.0521,14.5662 50.0525,14.5654 50.0532,14.5643 50.0544,14.5635 50.0550)
4;2971;13203;11381;67;46;81;LINESTRING(14.5553 50.0478,14.5560 50.0468,14.5565 50.0464,14.5570 50.0460,14.5581 50.0450)
5;2973;9490;8351;67;44;81;LINESTRING(14.5581 50.0450,14.5574 50.0433,14.5572 50.0432,14.5571 50.0431,14.5569 50.0431,14.5563 50.0430,14.5544 50.0428)
6;2974;5953;6222;44;26;81;LINESTRING(14.5544 50.0428,14.5533 50.0427,14.5527 50.0425,14.5523 50.0423,14.5520 50.0420,14.5519 50.0418,14.5517 50.0413,14.5519 50.0409,14.5521 50.0406,14.5528 50.0402,14.5537 50.0401,14.5582 50.0401,14.5600 50.0400,14.5607 50.0399,14.5611 50.0396,14.5614 50.0394,14.5618 50.0379)
7;2978;6982;6862;66;32;81;LINESTRING(14.5618 50.0379,14.5625 50.0355)
8;2980;7897;7482;67;32;81;LINESTRING(14.5625 50.0355,14.5630 50.0341)
9;2983;20235;19779;792;940;75;LINESTRING(14.5673 50.0361,14.5671 50.0360,14.5667 50.0360,14.5657 50.0359,14.5652 50.0357,14.5650 50.0355,14.5644 50.0345)
10;2984;20415;22550;981;1149;75;LINESTRING(14.5673 50.0361,14.5717 50.0366)
11;2985;18563;18249;1022;1073;75;LINESTRING(14.5717 50.0366,14.5772 50.0368)
12;2986;17741;18214;1593;1388;75;LINESTRING(14.5772 50.0368,14.5779 50.0368,14.5787 50.0366,14.5795 50.0361,14.5801 50.0359,14.5804 50.0359)
13;2990;10826;14013;1217;1998;75;LINESTRING(14.5893 50.0386,14.5847 50.0416,14.5831 50.0425)
14;2991;13725;14512;1986;2092;75;LINESTRING(14.5831 50.0425,14.5792 50.0449)
15;2996;11477;11244;245;492;75;LINESTRING(14.5553 50.0478,14.5581 50.0486,14.5595 50.0489,14.5602 50.0491,14.5609 50.0492,14.5613 50.0493,14.5617 50.0493,14.5618 50.0493,14.5623 50.0492,14.5628 50.0491,14.5632 50.0490,14.5635 50.0488)
16;3001;15468;15620;323;537;75;LINESTRING(14.5673 50.0361,14.5670 50.0364,14.5668 50.0368,14.5666 50.0370,14.5666 50.0373,14.5666 50.0377,14.5668 50.0384,14.5668 50.0395,14.5669 50.0408)
17;3007;1802;1613;2;1;82;LINESTRING(14.5625 50.0355,14.5559 50.0347)
18;3047;18403;23927;961;1809;75;LINESTRING(14.5893 50.0386,14.5900 50.0384,14.5900 50.0383,14.5912 50.0372,14.5920 50.0364)
19;3049;20876;27247;819;1623;75;LINESTRING(14.6014 50.0297,14.5987 50.0316)
20;3051;20528;26709;790;1590;75;LINESTRING(14.6014 50.0297,14.6031 50.0295)
21;3052;17631;23586;751;1574;75;LINESTRING(14.6072 50.0309,14.6067 50.0307,14.6062 50.0305,14.6055 50.0302,14.6052 50.0299,14.6046 50.0298,14.6038 50.0296,14.6031 50.0295)
22;3053;16190;20880;745;1539;75;LINESTRING(14.6086 50.0314,14.6072 50.0309)
23;3058;4370;8150;115;49;75;LINESTRING(14.6014 50.0297,14.6013 50.0293,14.6020 50.0284)
24;3060;1254;1808;13;48;75;LINESTRING(14.5990 50.0286,14.5956 50.0278,14.5950 50.0276,14.5937 50.0267)
25;3064;1862;5416;76;75;83;LINESTRING(14.5791 50.0212,14.5779 50.0241)
